"name"	"rcor_and_trim"	"PASA_Settings"	"number_of_alignments"	"Alignment_kind"	"total_counts"	"Total_mRNA"	"No_fussion_mRNA"	"percent_fused"
"1"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	1	"EndToEnd.compreh"	13081	5314	2950	0.555137372977042
"2"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	1	"Local.compreh"	13006	5313	2942	0.55373611895351
"3"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	10	"EndToEnd.compreh"	13451	5397	2974	0.551046877895127
"4"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	10	"Local.compreh"	13400	5396	2969	0.550222386953299
"5"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	100	"EndToEnd.compreh"	13429	5414	2980	0.550424824528999
"6"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	100	"Local.compreh"	13382	5402	2974	0.550536838208071
"7"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	15	"EndToEnd.compreh"	13378	5411	2985	0.551654038070597
"8"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	15	"Local.compreh"	13323	5408	2979	0.550850591715976
"9"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	5	"EndToEnd.compreh"	13507	5390	2974	0.551762523191095
"10"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	5	"Local.compreh"	13440	5382	2967	0.551282051282051
"11"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	50	"EndToEnd.compreh"	13443	5410	2980	0.55083179297597
"12"	"PASA_rcor-only_gene-overlap-10.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_50_Local.compreh_init_build"	"rcor-only"	"gene-overlap-10.0"	50	"Local.compreh"	13378	5401	2974	0.550638770598037
"13"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	1	"EndToEnd.compreh"	13249	5283	2956	0.559530569752035
"14"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_1_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	1	"Local.compreh"	13172	5282	2951	0.558689890193109
"15"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	10	"EndToEnd.compreh"	13629	5366	2981	0.555534849049571
"16"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_10_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	10	"Local.compreh"	13578	5365	2977	0.554892823858341
"17"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	100	"EndToEnd.compreh"	13608	5382	2988	0.555183946488294
"18"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_100_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	100	"Local.compreh"	13558	5371	2982	0.555203872649414
"19"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	15	"EndToEnd.compreh"	13558	5379	2993	0.556423126975274
"20"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_15_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	15	"Local.compreh"	13500	5378	2987	0.555410933432503
"21"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_EndToEnd.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	5	"EndToEnd.compreh"	13682	5360	2981	0.55615671641791
"22"	"PASA_rcor-only_gene-overlap-20.0_trinity_5781-5782_Q_IP_merged.multi-hit-mode_5_Local.compreh_init_build"	"rcor-only"	"gene-overlap-20.0"	5	"Local.compreh"	13615	5352	2975	0.555866965620329
