chr	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	length	feature	feature_init	type	genome	threshold	log10baseMean	stably_expressed
VI	106415	106732	318	+	0.8495876542952677	-3.5886025293248305	3.951741395798742	-0.9081066218401894	0.36382189225445905	NA	318	YFL015W-A	YFL015W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.07079180712700889	FALSE
X	400981	401238	258	+	2.2188708370475907	-3.469557762511706	2.355866246891297	-1.4727312159975083	0.14082352589287048	NA	258	YJL020W-A	YJL020W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.3461320222004016	FALSE
I	124755	125069	315	-	0.6878580354721576	-3.2828284386922015	3.9092461687660904	-0.8397599682826803	0.40104298290097057	NA	315	YAL016C-A	YAL016C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.16250118498097932	FALSE
XII	451575	451785	211	-	1.5310128015754334	-2.8885998699599056	2.6660203885623317	-1.0834875390872765	0.2785920788567769	NA	211	ETS2-1	ETS2-1_rRNA-E1	rRNA-E1	S_cerevisiae	NA	0.184978822070127	FALSE
Mito	67309	67381	73	+	0.517940504613104	-2.8732105199773743	4.852996737694081	-0.5920487227326245	0.55381796244575765	NA	73	tR(UCU)Q1	tR(UCU)Q1_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.2857201244288889	FALSE
XII	784354	784389	36	+	0.5152112006011229	-2.8660161965689235	4.405540716648902	-0.6505481122301314	0.515338234490561	NA	36	tX(XXX)L	tX(XXX)L_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.28801470405976193	FALSE
Mito	71433	71503	71	+	0.5124818965891418	-2.858941704109015	4.414914392699274	-0.6475644712016853	0.5172666829529478	NA	71	tN(GUU)Q	tN(GUU)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.2903214714435328	FALSE
Mito	27666	27812	147	+	1.8866858728487914	-2.7592124192690703	2.435868225896193	-1.1327428922202532	0.2573222396999981	NA	147	Q0080	Q0080_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.2756995975444708	FALSE
XV	326832	329033	2202	+	115.15372848188386	-2.5262581274497418	0.3510369768048946	-7.1965584664142925	6.175131665676048e-13	3.067460752996288e-11	2202	YOR001W	YOR001W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.0612780042446124	FALSE
XIII	762110	763113	1004	-	8758.106659634755	-2.49917024036023	0.21124088075390451	-11.830902387079902	2.702210037323345e-32	5.771920639722665e-29	1004	snR86	snR86_snoRNA-E1	snoRNA-E1	S_cerevisiae	TRUE	3.9424102298956996	FALSE
II	683373	683732	360	-	1.5413922031067222	-2.3320332415271308	2.5869406640491155	-0.9014637536668506	0.36734179732249683	NA	360	YBR232C	YBR232C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.18791315784429974	FALSE
XVI	338848	338919	72	-	0.3452936697420694	-2.287943549143656	4.89147761485076	-0.46774077881852105	0.639969975491129	NA	72	tM(CAU)P	tM(CAU)P_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.46181138348457007	FALSE
XI	194478	194999	522	+	0.6268279577980072	-2.287515053501404	4.161685977000927	-0.5496606582387739	0.5825521456371301	NA	522	YKL131W	YKL131W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.20285164135689424	FALSE
VI	180974	181044	71	-	0.34256436573008825	-2.277525272600844	4.892242890665254	-0.4655380616826126	0.6415461866634132	NA	71	tG(GCC)F2	tG(GCC)F2_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.46525781525163035	FALSE
XIV	578679	578996	318	+	0.34256436573008825	-2.277525272600844	4.892242890665254	-0.4655380616826126	0.6415461866634132	NA	318	YNL028W	YNL028W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.46525781525163035	FALSE
II	808600	809097	498	-	1.1844379258859206	-2.268446763104067	3.297012107819951	-0.6880310684100001	0.4914332168522921	NA	498	YBR300C	YBR300C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.07351230511651159	FALSE
Mito	3952	4338	387	+	1.0158016009743105	-2.2142610923352097	3.106671688311335	-0.7127438347174675	0.4760042862615345	NA	387	Q0010	Q0010_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.006808892971571589	FALSE
XIII	24037	25800	1764	-	1151.668109214649	-2.129466941194434	0.21925823317054577	-9.712141297508628	2.6765411820504186e-22	9.026987312936359e-20	1764	YML123C	YML123C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.061327340976288	FALSE
XII	856710	856920	211	+	1963.8724047315895	-1.9971090954074766	0.19295272171732128	-10.35025097149587	4.1739022471056455e-25	2.2288637999544146e-22	211	snR44	snR44_snoRNA-E1	snoRNA-E1	S_cerevisiae	TRUE	3.2931132677069876	FALSE
II	110506	110539	34	-	0.8458840701152568	-1.8966339106906285	3.3342366183701375	-0.5688360268857442	0.5694674230286042	NA	34	YBL059C-A	YBL059C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.07268915369761318	FALSE
XII	263577	263954	378	-	0.8458840701152568	-1.8966339106906285	3.3342366183701375	-0.5688360268857442	0.5694674230286042	NA	378	YLR062C	YLR062C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.07268915369761318	FALSE
XIV	31050	31445	396	+	1.201557141388615	-1.7239304951554237	3.054731535588348	-0.5643476276298666	0.5725175738928531	NA	396	YNL324W	YNL324W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.07974442898900226	FALSE
