chr	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	length	feature	feature_init	type	genome	threshold	log10baseMean	stably_expressed
XII	451575	451785	211	-	3.1711935944795506	-4.066519934773257	2.0125534027135576	-2.020577406438161	0.04332352972714767	NA	211	ETS2-1	ETS2-1_rRNA-E1	rRNA-E1	S_cerevisiae	NA	0.501222755571013	FALSE
I	124755	125069	315	-	0.72521553852977	-3.4102170452162075	3.5084860051699787	-0.9719910640062507	0.33105499413017936	NA	315	YAL016C-A	YAL016C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.13953289924635698	FALSE
XV	326832	329033	2202	+	154.11095124201248	-3.111899358998517	0.2993027024772249	-10.397164252919879	2.554214605281739e-25	1.206964640018902e-22	2202	YOR001W	YOR001W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.1878335011128853	FALSE
XII	920869	920973	105	+	0.5834325897266512	-3.0888418828318813	4.242265141779155	-0.728111463946937	0.4665453567759639	NA	105	YLR399W-A	YLR399W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.23400931545572323	FALSE
XIII	337788	337817	30	+	0.5570852991737687	-3.0264202032550815	3.9328759932113324	-0.7695183393727861	0.4415856616952293	NA	30	YMR033W	YMR033W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.25407830191024033	FALSE
V	4464	5114	651	-	0.5307380086208863	-2.9632441708503516	4.006990454759949	-0.7395186497962032	0.45959211932968286	NA	651	YEL076C	YEL076C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.27511980940616687	FALSE
XII	460712	460922	211	-	8.196081010012351	-2.5481584132224793	1.0847258800858701	-2.3491265950257953	0.018817507740267348	0.05794283210449239	211	ETS2-2	ETS2-2_rRNA-E1	rRNA-E1	S_cerevisiae	FALSE	0.9136062423142565	TRUE
XII	455433	455636	204	+	1.1636772182462418	-2.5189109021224447	4.810210734857964	-0.523659157772185	0.6005156274471182	NA	204	YLR154W-E	YLR154W-E_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.06583253205384812	FALSE
I	79489	79842	354	-	0.38895505981776746	-2.5031142358993974	4.885611418484231	-0.5123441103869028	0.6084101988938082	NA	354	YAL034C-B	YAL034C-B_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.4101005745114045	FALSE
II	9583	9666	84	+	0.38895505981776746	-2.5031142358993974	4.885611418484231	-0.5123441103869028	0.6084101988938082	NA	84	tL(UAA)B1	tL(UAA)B1_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.4101005745114045	FALSE
