chr	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	length	feature	feature_init	type	genome	threshold	log10baseMean	stably_expressed
XV	326832	329033	2202	+	742.5022488678875	-4.640619598230204	0.20015301656509457	-23.185359270970384	6.39821955231359e-119	5.584046114281685e-116	2202	YOR001W	YOR001W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.8706977733689603	FALSE
XII	668237	668563	327	-	0.8663141616970831	-3.4404987867366583	2.9790708362337752	-1.1548898887836563	0.24813552053219487	NA	327	YLR261C	YLR261C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.06232458610125205	FALSE
III	46640	46963	324	+	0.8522216975575682	-3.4211936708097737	2.994607934830559	-1.142451280856354	0.25326648593179163	NA	324	YCL046W	YCL046W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.06944741286078827	FALSE
XV	288192	288230	39	+	0.8381292334180532	-3.4005757524804734	3.2458394032218814	-1.0476722135743985	0.29478965382172145	NA	39	tY(GUA)O	tY(GUA)O_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.07668901116321408	FALSE
Mito	71433	71503	71	+	0.586937750557732	-2.8754855488021662	3.729202547001377	-0.7710725047944424	0.4406639568369425	NA	71	tN(GUU)Q	tN(GUU)Q_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.2314079567129393	FALSE
XII	475764	475976	213	+	0.5728452864182171	-2.845911544760908	3.4879238400508177	-0.8159328228678996	0.41453855812540247	NA	213	YLR157W-D	YLR157W-D_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.24196265609108536	FALSE
XV	651858	652163	306	+	0.5728452864182171	-2.845911544760908	3.4879238400508177	-0.8159328228678996	0.41453855812540247	NA	306	YOR170W	YOR170W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.24196265609108536	FALSE
VIII	175275	175394	120	-	0.5587528222787022	-2.8157451093300345	3.7994314037573793	-0.741096445785402	0.45863496448891083	NA	120	YHR032C-A	YHR032C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.2527802702188953	FALSE
XV	256666	257019	354	-	1.6463449331392144	-2.741634919550379	2.317240580692326	-1.1831464295913787	0.23675111961359122	0.43846056157615226	354	YOL037C	YOL037C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.21652083140175893	TRUE
XV	773163	773363	201	-	1.6322524689996993	-2.730615631217985	2.321552774087848	-1.1762022650081085	0.239514059613024	0.44193635418026783	201	YOR231C-A	YOR231C-A_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.21278733420536244	TRUE
II	789235	791814	2580	+	120.76509948289747	-2.590174254206427	0.34304185106947455	-7.550607152250506	4.332337921094189e-14	1.8671841583382485e-12	2580	YBR294W	YBR294W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.0819414434577452	FALSE
XIII	24037	25800	1764	-	1985.3975733688767	-2.5539327692424023	0.35575915838924604	-7.17882508156845	7.031303493401228e-13	2.6826536060616054e-11	1764	YML123C	YML123C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.2978474867319973	FALSE
III	78949	79296	348	-	1.3669685219998633	-2.4289221208751206	2.476396633409488	-0.9808291967878325	0.3266769776878285	0.5389712949758035	348	YCL023C	YCL023C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.13575851392469027	TRUE
XVI	620425	621258	834	-	22.088824813184736	-2.4158800888326892	0.6321241840922189	-3.8218441085308053	1.3245741833700915e-4	0.0011917753799342756	834	YPR027C	YPR027C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	1.3441726108136904	FALSE
VII	154615	156012	1398	-	219.79376464762726	-2.254386024565586	0.23983302010528904	-9.399815019532708	5.465908073827404e-21	4.336701155848061e-19	1398	YGL184C	YGL184C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.342015367716501	FALSE
IV	183318	183899	582	-	2.3700058480232857	-2.231431715036165	3.8844628115084565	-0.5744505285068314	0.5656629687060137	0.7400147737503069	582	YDL151C	YDL151C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.374749417639264	TRUE
XI	246138	247682	1545	-	223.41482392417996	-2.1096669952608345	0.24135532641075996	-8.74091749552034	2.3122483763462404e-18	1.5230300154386275e-16	1545	YKL103C	YKL103C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.3491119858560574	FALSE
VIII	167677	168561	885	-	506.87442631643216	-2.0809022675638253	0.17583722642671626	-11.834253245748753	2.5964403045848844e-32	3.237204679752083e-30	885	YHR029C	YHR029C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	2.7049003800183655	FALSE
XII	732542	733876	1335	+	4741.959199999662	-2.064080255400901	0.168417458410321	-12.255738062333862	1.565177953016831e-34	2.0237171236969474e-32	1335	YLR303W	YLR303W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.675957812971727	FALSE
X	678957	683285	4329	-	2428.9622229847814	-2.0612225023979356	0.1508663389582557	-13.662573882489918	1.698715711356398e-42	2.7582402550442723e-40	4329	YJR137C	YJR137C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.3854207603889783	FALSE
VIII	358478	358513	36	-	1.0594071825814824	-1.992190284234121	2.6793538117531446	-0.7435338608493063	0.45715852901306403	NA	36	tF(GAA)H2	tF(GAA)H2_tRNA-E2	tRNA-E2	S_cerevisiae	NA	0.025062913044480984	FALSE
XIV	76273	76587	315	+	1.1067537513163963	-1.9914096254627387	2.809996046542886	-0.7086876965228307	0.47851830156066255	NA	315	YNL296W	YNL296W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.04405100268454243	FALSE
X	50412	50443	32	-	2.171230110214248	-1.954411664177102	1.9214525074996398	-1.0171532507562997	0.30908053137383434	0.5205017535099159	32	YJL205C	YJL205C_mRNA-E1	mRNA-E1	S_cerevisiae	FALSE	0.33670585307230505	TRUE
III	65934	68333	2400	-	4307.842036216074	-1.9474909756354397	0.1268081029303438	-15.35778022564697	3.1414795857794535e-53	6.266802990832042e-51	2400	YCL030C	YCL030C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.6342597698215156	FALSE
XIV	424155	424583	429	+	1.0644763588978516	-1.9347390615849733	2.8423823696143335	-0.6806751555553333	0.49607706013736386	NA	429	YNL105W	YNL105W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	0.027136020575448807	FALSE
XV	219211	220473	1263	+	1052.3477477308245	-1.8853999617211847	0.16726834024067314	-11.271708435729005	1.8102288138497467e-29	2.1065029297164885e-27	1263	YOL058W	YOL058W_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.0221592759059255	FALSE
IV	103649	104551	903	-	1800.4366375127213	-1.874994521195831	0.14507325245114855	-12.924467395030039	3.275569609071479e-38	4.9717450022906666e-36	903	YDL198C	YDL198C_mRNA-E1	mRNA-E1	S_cerevisiae	TRUE	3.255377841917914	FALSE
IV	1483141	1483476	336	+	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	336	YDR521W	YDR521W_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
VI	263957	264325	369	-	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	369	YFR056C	YFR056C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
VII	592906	593229	324	-	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	324	YGR051C	YGR051C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
X	65805	66086	282	-	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	282	YJL197C-A	YJL197C-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
XII	592582	592619	38	-	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	38	tL(UAG)L1	tL(UAG)L1_tRNA-E1	tRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
XII	705071	705412	342	-	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	342	YLR282C	YLR282C_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
XV	946568	946648	81	+	0.293468875278866	-1.8710886972157619	4.988382578561209	-0.37508925343000393	0.7075940890802921	NA	81	YOR335W-A	YOR335W-A_mRNA-E1	mRNA-E1	S_cerevisiae	NA	-0.5324379523769205	FALSE
